Level FolderNum Image TilesX TilesY
20 875156 451536.png 195251.939 2679706.059
20 875156 451537.png 195251.805 2679671.382
20 875156 451538.png 195251.671 2679636.705
20 875156 451539.png 195251.537 2679602.028
20 875156 451540.png 195251.403 2679567.351
20 875156 451541.png 195251.27 2679532.674
20 875156 451542.png 195251.136 2679497.997
20 875156 451543.png 195251.002 2679463.32
20 875156 451544.png 195250.868 2679428.643
20 875156 451545.png 195250.734 2679393.965
20 875156 451546.png 195250.6 2679359.288
20 875156 451547.png 195250.467 2679324.61
20 875156 451548.png 195250.333 2679289.932
20 875156 451549.png 195250.199 2679255.255
20 875156 451550.png 195250.065 2679220.577
20 875156 451551.png 195249.931 2679185.899
20 875156 451552.png 195249.797 2679151.221
20 875156 451553.png 195249.664 2679116.543
20 875156 451554.png 195249.53 2679081.865
20 875156 451555.png 195249.396 2679047.186
20 875156 451556.png 195249.262 2679012.508
20 875156 451557.png 195249.128 2678977.829
20 875156 451558.png 195248.994 2678943.151
20 875156 451559.png 195248.861 2678908.472
20 875156 451560.png 195248.727 2678873.794
20 875156 451561.png 195248.593 2678839.115
20 875156 451562.png 195248.459 2678804.436
20 875156 451563.png 195248.325 2678769.757
20 875156 451564.png 195248.192 2678735.078
20 875156 451565.png 195248.058 2678700.399
20 875156 451566.png 195247.924 2678665.72
20 875156 451567.png 195247.79 2678631.041
20 875156 451568.png 195247.656 2678596.361
20 875156 451569.png 195247.523 2678561.682
20 875156 451570.png 195247.389 2678527.002
20 875156 451571.png 195247.255 2678492.323
20 875156 451572.png 195247.121 2678457.643
20 875156 451573.png 195246.987 2678422.963
20 875156 451574.png 195246.854 2678388.283
20 875156 451575.png 195246.72 2678353.603
20 875156 451576.png 195246.586 2678318.923
20 875156 451577.png 195246.452 2678284.243
20 875156 451578.png 195246.318 2678249.563
20 875156 451579.png 195246.185 2678214.883
20 875156 451580.png 195246.051 2678180.202
20 875156 451581.png 195245.917 2678145.522
20 875156 451582.png 195245.783 2678110.842
20 875156 451583.png 195245.649 2678076.161
20 875156 451584.png 195245.516 2678041.48
20 875156 451585.png 195245.382 2678006.799
20 875156 451586.png 195245.248 2677972.119
20 875156 451587.png 195245.114 2677937.438
20 875156 451588.png 195244.98 2677902.757
20 875156 451589.png 195244.847 2677868.076
20 875157 451505.png 195290.957 2680780.862
20 875157 451506.png 195290.823 2680746.188
20 875157 451507.png 195290.69 2680711.514
20 875157 451508.png 195290.556 2680676.839
20 875157 451509.png 195290.422 2680642.165
20 875157 451510.png 195290.288 2680607.49
20 875157 451511.png 195290.154 2680572.816
20 875157 451512.png 195290.021 2680538.141
20 875157 451513.png 195289.887 2680503.466
20 875157 451514.png 195289.753 2680468.792
20 875157 451515.png 195289.619 2680434.117
20 875157 451516.png 195289.485 2680399.442
20 875157 451517.png 195289.352 2680364.767
20 875157 451518.png 195289.218 2680330.092
20 875157 451519.png 195289.084 2680295.416
20 875157 451520.png 195288.95 2680260.741
20 875157 451521.png 195288.816 2680226.066
20 875157 451522.png 195288.683 2680191.39
20 875157 451523.png 195288.549 2680156.714
20 875157 451524.png 195288.415 2680122.039
20 875157 451525.png 195288.281 2680087.363
20 875157 451526.png 195288.148 2680052.687
20 875157 451527.png 195288.014 2680018.011
20 875157 451528.png 195287.88 2679983.335
20 875157 451529.png 195287.746 2679948.659
20 875157 451530.png 195287.613 2679913.983
20 875157 451531.png 195287.479 2679879.307
20 875157 451532.png 195287.345 2679844.631
20 875157 451533.png 195287.211 2679809.954
20 875157 451534.png 195287.077 2679775.278
20 875157 451535.png 195286.944 2679740.601
20 875157 451536.png 195286.81 2679705.924
20 875157 451537.png 195286.676 2679671.248
20 875157 451538.png 195286.542 2679636.571
20 875157 451539.png 195286.409 2679601.894
20 875157 451540.png 195286.275 2679567.217
20 875157 451541.png 195286.141 2679532.54
20 875157 451542.png 195286.007 2679497.863
20 875157 451543.png 195285.874 2679463.185
20 875157 451544.png 195285.74 2679428.508
20 875157 451545.png 195285.606 2679393.831
20 875157 451546.png 195285.472 2679359.153
20 875157 451547.png 195285.339 2679324.475
20 875157 451548.png 195285.205 2679289.798
20 875157 451549.png 195285.071 2679255.12
20 875157 451550.png 195284.937 2679220.442
20 875157 451551.png 195284.804 2679185.764
20 875157 451552.png 195284.67 2679151.086
20 875157 451553.png 195284.536 2679116.408
20 875157 451554.png 195284.402 2679081.73
20 875157 451555.png 195284.269 2679047.052
20 875157 451556.png 195284.135 2679012.373
